"","Age","b_mortality","p.SCS_AF","p.ED_AF","p.HOSP_AF","pSp.SCS_AF","pSp.ED_AF","pSp.HOSP_AF"
"1",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"2",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"3",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"4",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"5",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"6",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"7",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"8",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"9",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"10",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"11",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"12",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"13",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"14",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"15",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"16",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"17",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"18",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"19",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"20",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"21",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"22",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"23",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"24",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"25",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"26",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"27",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"28",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"29",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"30",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"31",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"32",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"33",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"34",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"35",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"36",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"37",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"38",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"39",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"40",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"41",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"42",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"43",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"44",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"45",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"46",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"47",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"48",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"49",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"50",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"51",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"52",19,0.00065652106422931,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"53",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"54",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"55",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"56",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"57",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"58",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"59",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"60",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"61",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"62",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"63",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"64",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"65",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"66",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"67",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"68",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"69",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
"70",20,0.000748169550206512,5e-04,0.0032,0.002,0.00129896083133493,0.00827761859280484,0.00517309988062077
