,Age,b_mortality,p.SCS_AF,p.ED_AF,p.HOSP_AF,pSp.SCS_AF,pSp.ED_AF,pSp.HOSP_AF
72,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
73,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
74,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
75,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
76,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
77,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
78,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
79,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
80,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
81,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
82,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
83,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
84,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
85,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
86,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
87,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
88,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
89,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
90,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
91,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
92,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
93,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
94,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
95,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
96,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
97,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
98,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
99,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
100,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
101,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
102,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
103,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
104,24,0.001019604,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
105,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
106,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
107,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
108,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
109,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
110,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
111,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
112,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
113,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
114,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
115,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
116,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
117,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
118,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
119,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
120,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
121,25,0.001057478,5.00E-04,0.0032,0.002,0.001298961,0.008277619,0.005183413
